Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
+---------------+------+----+
|            the|158488|   0|
|            and| 95268|   1|
|             of| 93658|   2|
|             to| 75963|   3|
|              a| 61211|   4|
|             in| 50990|   5|
|              i| 46138|   6|
|           that| 37191|   7|
|             he| 30319|   8|
|             it| 29249|   9|
|            you| 27025|  10|
|             is| 26930|  11|
|            his| 26733|  12|
|           with| 24729|  13|
|            was| 24110|  14|
|            for| 23067|  15|
|             be| 22284|  16|
|             as| 21825|  17|
|            not| 21822|  18|
|             my| 20629|  19|
|            but| 18236|  20|
|           this| 16810|  21|
|           have| 15978|  22|
|             me| 14978|  23|
|             on| 14929|  24|
|             by| 14891|  25|
|            her| 14273|  26|
|            him| 14155|  27|
|             at| 14099|  28|
|            all| 13642|  29|
|          which| 13183|  30|
|            had| 12911|  31|
|             or| 12408|  32|
|             so| 12022|  33|
|           from| 11272|  34|
|           will| 11144|  35|
|           they| 11122|  36|
|            are| 10825|  37|
|             we| 10194|  38|
|             no| 10127|  39|
|           your|  9974|  40|
|            she|  9955|  41|
|           what|  9723|  42|
|            one|  9527|  43|
|             if|  9139|  44|
|          would|  8915|  45|
|          their|  8576|  46|
|          there|  8340|  47|
|           were|  8197|  48|
|             an|  8063|  49|
|           when|  7780|  50|
|           them|  7724|  51|
|             do|  7520|  52|
|           more|  7074|  53|
|              ”|  6917|  54|
|            now|  6875|  55|
|           then|  6712|  56|
|           said|  6496|  57|
|            who|  6362|  58|
|           thou|  6324|  59|
|            our|  6286|  60|
|            out|  5959|  61|
|           good|  5723|  62|
|           like|  5645|  63|
|           than|  5508|  64|
|            man|  5455|  65|
|           been|  5435|  66|
|            may|  5206|  67|
|          shall|  5163|  68|
|             up|  5115|  69|
|           upon|  5016|  70|
|           some|  5015|  71|
|           well|  4789|  72|
|            any|  4718|  73|
|            thy|  4615|  74|
|           time|  4585|  75|
|          other|  4571|  76|
|            sir|  4490|  77|
|            how|  4473|  78|
|           must|  4418|  79|
|           lord|  4342|  80|
|           such|  4317|  81|
|             us|  4272|  82|
|         should|  4232|  83|
|           into|  4198|  84|
|            did|  4185|  85|
|          could|  4160|  86|
|           come|  4145|  87|
|            has|  4068|  88|
|           here|  4000|  89|
|           very|  3941|  90|
|            see|  3941|  91|
|            can|  3940|  92|
|          these|  3939|  93|
|          first|  3830|  94|
|             am|  3728|  95|
|          great|  3706|  96|
|            say|  3691|  97|
|           thee|  3683|  98|
|           know|  3640|  99|
|           only|  3632| 100|
|           most|  3556| 101|
|            yet|  3529| 102|
|            let|  3480| 103|
|            too|  3456| 104|
|            two|  3442| 105|
|           king|  3437| 106|
|         little|  3432| 107|
|          about|  3426| 108|
|             mr|  3405| 109|
|             go|  3337| 110|
|           make|  3333| 111|
|           much|  3322| 112|
|           love|  3317| 113|
|         before|  3275| 114|
|          never|  3256| 115|
|          where|  3218| 116|
|           made|  3202| 117|
|            old|  3194| 118|
|            own|  3077| 119|
|            its|  3057| 120|
|           life|  3043| 121|
|           down|  2970| 122|
|          those|  2955| 123|
|            men|  2944| 124|
|            day|  2892| 125|
|          after|  2813| 126|
|              o|  2754| 127|
|           over|  2695| 128|
|            way|  2617| 129|
|          enter|  2609| 130|
|          might|  2608| 131|
|          think|  2600| 132|
|          again|  2597| 133|
|           long|  2583| 134|
|          still|  2557| 135|
|           hand|  2541| 136|
|           take|  2528| 137|
|           even|  2503| 138|
|           give|  2461| 139|
|            why|  2381| 140|
|          state|  2325| 141|
|         though|  2323| 142|
|           many|  2302| 143|
|          every|  2302| 144|
|          being|  2275| 145|
|           away|  2234| 146|
|           eyes|  2220| 147|
|           work|  2217| 148|
|        himself|  2154| 149|
|           tell|  2139| 150|
|           ever|  2128| 151|
|           same|  2104| 152|
|        another|  2098| 153|
|        against|  2088| 154|
|            nor|  2088| 155|
|           hath|  2084| 156|
|          house|  2053| 157|
|          night|  2046| 158|
