Values for Sample F 
The total number of words = 2987998
The total number of distinct = 45971
The popular treshold words = 2299
The common treshold 1 words = 21836
The common treshold 2 words = 24135
____________________________________________________________________________________________________________
Table for the top values
+--------------+------+----+
|          Word| Count|Rank|
+--------------+------+----+
|           the|188285|   0|
|           and|130178|   1|
|            of|103093|   2|
|            to| 77016|   3|
|             a| 56396|   4|
|            in| 49973|   5|
|             i| 43808|   6|
|          that| 39671|   7|
|            he| 34717|   8|
|           was| 33858|   9|
|            it| 33321|  10|
|           for| 27986|  11|
|           his| 27364|  12|
|          with| 23512|  13|
|            is| 23058|  14|
|            as| 21226|  15|
|           not| 20855|  16|
|           her| 20682|  17|
|            be| 19965|  18|
|           but| 18972|  19|
|          they| 18479|  20|
|           had| 18003|  21|
|           you| 17356|  22|
|           him| 16370|  23|
|           she| 16258|  24|
|            my| 15829|  25|
|           all| 15254|  26|
|            by| 14644|  27|
|         which| 14565|  28|
|            me| 14266|  29|
|            on| 14263|  30|
|            at| 14249|  31|
|          them| 13775|  32|
|          have| 13245|  33|
|          this| 12953|  34|
|            or| 12189|  35|
|          from| 12114|  36|
|         shall| 11877|  37|
|          said| 11727|  38|
|            so| 10841|  39|
|         their| 10803|  40|
|           one| 10504|  41|
|          were| 10442|  42|
|          when|  9816|  43|
|           are|  9810|  44|
|         there|  9414|  45|
|          unto|  8724|  46|
|            no|  8687|  47|
|            we|  8607|  48|
|            up|  8525|  49|
|           out|  8449|  50|
|            if|  8312|  51|
|          lord|  8198|  52|
|             ”|  7994|  53|
|          will|  7894|  54|
|          then|  7889|  55|
|            an|  7355|  56|
|           man|  6571|  57|
|         would|  6553|  58|
|           who|  6391|  59|
|          what|  6362|  60|
|            do|  6200|  61|
|           any|  6050|  62|
|          into|  5799|  63|
|          upon|  5768|  64|
|          thou|  5668|  65|
|           god|  5560|  66|
|          been|  5154|  67|
|         about|  5050|  68|
|           did|  5025|  69|
|          your|  5024|  70|
|          time|  4965|  71|
|         other|  4734|  72|
|           thy|  4732|  73|
|          more|  4708|  74|
|          made|  4697|  75|
|        before|  4669|  76|
|           now|  4663|  77|
|          came|  4656|  78|
|         could|  4627|  79|
|           men|  4549|  80|
|          come|  4377|  81|
|         after|  4297|  82|
|        people|  4273|  83|
|          some|  4235|  84|
|          went|  4172|  85|
|          down|  4120|  86|
|            go|  4043|  87|
|          like|  4004|  88|
|          thee|  4002|  89|
|          over|  3971|  90|
|         house|  3964|  91|
|        little|  3871|  92|
|           two|  3830|  93|
|           may|  3827|  94|
|           see|  3820|  95|
|           day|  3813|  96|
|           our|  3792|  97|
|          than|  3787|  98|
|          very|  3731|  99|
|          good|  3638| 100|
|            ye|  3624| 101|
|         great|  3558| 102|
|         these|  3554| 103|
|            us|  3545| 104|
|        should|  3395| 105|
|         again|  3323| 106|
|          such|  3318| 107|
|          know|  3294| 108|
|          king|  3263| 109|
|         every|  3243| 110|
|          make|  3201| 111|
|           say|  3160| 112|
|           let|  3148| 113|
|          hand|  3138| 114|
|          also|  3130| 115|
|          only|  3098| 116|
|          much|  3095| 117|
|       against|  3073| 118|
|            mr|  3050| 119|
|         never|  3034| 120|
|          well|  3034| 121|
|         first|  3002| 122|
|           how|  2978| 123|
|       because|  2977| 124|
|           way|  2948| 125|
|          away|  2930| 126|
|           can|  2929| 127|
|         where|  2877| 128|
|           has|  2829| 129|
|           son|  2819| 130|
|           own|  2797| 131|
|           old|  2746| 132|
|          many|  2743| 133|
|         those|  2729| 134|
|          hath|  2729| 135|
|          even|  2708| 136|
|      children|  2685| 137|
|        israel|  2649| 138|
|          work|  2631| 139|
|       without|  2603| 140|
|           put|  2581| 141|
|     gutenberg|  2569| 142|
|         being|  2509| 143|
|           got|  2507| 144|
|          take|  2503| 145|
|          give|  2495| 146|
|       project|  2461| 147|
|        things|  2460| 148|
|           off|  2421| 149|
|       another|  2394| 150|
|          must|  2385| 151|
|          life|  2381| 152|
|          took|  2375| 153|
|         right|  2319| 154|
|          long|  2316| 155|
|           yet|  2308| 156|
|         place|  2265| 157|
|          land|  2259| 158|
|            am|  2238| 159|
|     therefore|  2232| 160|
|       himself|  2228| 161|
|           saw|  2182| 162|
|          same|  2159| 163|
|          most|  2145| 164|
|         might|  2134| 165|
|         under|  2104| 166|
|          done|  2094| 167|
|          back|  2084| 168|
|          just|  2071| 169|
|       through|  2050| 170|
|        father|  2019| 171|
|           get|  1999| 172|
|         found|  1981| 173|
|        saying|  1976| 174|
|       nothing|  1970| 175|
|           nor|  1962| 176|
|       thought|  1960| 177|
|          ever|  1959| 178|
|         three|  1957| 179|
|         think|  1954| 180|
|           its|  1931| 181|
|         years|  1910| 182|
|          here|  1881| 183|
|        called|  1880| 184|
|         thing|  1873| 185|
|           set|  1866| 186|
|         power|  1858| 187|
|          both|  1832| 188|
|          name|  1828| 189|
|         woman|  1824| 190|
|         night|  1802| 191|
|          head|  1767| 192|
|           law|  1751| 193|
|         among|  1748| 194|
|          gave|  1746| 195|
|          told|  1743| 196|
|          eyes|  1741| 197|
|          days|  1738| 198|
|         heard|  1704| 199|
|           too|  1700| 200|
|       lincoln|  1696| 201|
|         heart|  1694| 202|
|          whom|  1693| 203|
|           new|  1672| 204|
|         while|  1667| 205|
|         shalt|  1656| 206|
|         young|  1653| 207|
|          tell|  1650| 208|
|          face|  1650| 209|
|        though|  1648| 210|
|          left|  1616| 211|
|        always|  1576| 212|
|            tm|  1568| 213|
|       brought|  1565| 214|
|         still|  1547| 215|
|          side|  1539| 216|
|          part|  1532| 217|
|         words|  1528| 218|
|          city|  1512| 219|
|        mother|  1507| 220|
|         hands|  1504| 221|
|         going|  1488| 222|
|          word|  1478| 223|
|        looked|  1455| 224|
|          last|  1453| 225|
|          room|  1442| 226|
|          full|  1430| 227|
|          home|  1416| 228|
|         given|  1411| 229|
|          look|  1404| 230|
|          thus|  1403| 231|
|         asked|  1388| 232|
|      together|  1384| 233|
|          once|  1374| 234|
|         saith|  1364| 235|
|          sent|  1360| 236|
|         forth|  1356| 237|
|          knew|  1340| 238|
|        behold|  1338| 239|
|         earth|  1332| 240|
|       between|  1309| 241|
|       neither|  1296| 242|
|         began|  1295| 243|
|          till|  1294| 244|
|           end|  1286| 245|
|         world|  1279| 246|
|          says|  1277| 247|
|          soon|  1272| 248|
|          half|  1262| 249|
|           why|  1262| 250|
|          each|  1258| 251|
|            jo|  1254| 252|
|         water|  1245| 253|
|          door|  1244| 254|
|          love|  1238| 255|
|         works|  1228| 256|
|       country|  1225| 257|
|    themselves|  1225| 258|
|          hear|  1225| 259|
|          seen|  1223| 260|
|        seemed|  1222| 261|
|       hundred|  1220| 262|
|           bed|  1218| 263|
|             o|  1218| 264|
|         money|  1216| 265|
|        having|  1216| 266|
|           use|  1208| 267|
|           mrs|  1204| 268|
|         stood|  1188| 269|
|          keep|  1160| 270|
|          mind|  1158| 271|
|           few|  1156| 272|
|          sons|  1152| 273|
|        better|  1141| 274|
|        myself|  1123| 275|
|            oh|  1123| 276|
|           far|  1120| 277|
|          fire|  1118| 278|
|           war|  1111| 279|
|         until|  1110| 280|
|        others|  1110| 281|
|        turned|  1110| 282|
|         taken|  1109| 283|
|         whole|  1109| 284|
|          felt|  1103| 285|
|         round|  1099| 286|
|         voice|  1091| 287|
|         david|  1089| 288|
|          five|  1087| 289|
|          hast|  1079| 290|
|         moses|  1074| 291|
|        cannot|  1072| 292|
|          pass|  1059| 293|
|        spirit|  1058| 294|
|          want|  1056| 295|
|          four|  1054| 296|
|     something|  1054| 297|
|         death|  1052| 298|
|         bring|  1050| 299|
|     according|  1045| 300|
|          high|  1044| 301|
|          mine|  1044| 302|
|        nature|  1043| 303|
|          used|  1043| 304|
|       thereof|  1038| 305|
|        common|  1037| 306|
|          year|  1028| 307|
|          body|  1028| 308|
|        enough|  1026| 309|
|          find|  1023| 310|
|           tom|   999| 311|
|          girl|   996| 312|
|         state|   989| 313|
|         whose|   988| 314|
|          poor|   988| 315|
|         women|   987| 316|
|           lay|   986| 317|
|          next|   974| 318|
|      thousand|   973| 319|
|         speak|   962| 320|
|       looking|   961| 321|
|         thine|   961| 322|
|         times|   958| 323|
|         small|   958| 324|
|          cunt|   955| 325|
|         quite|   944| 326|
|        almost|   938| 327|
|       morning|   937| 328|
|         light|   936| 329|
|       herself|   934| 330|
|       general|   925| 331|
|      anything|   924| 332|
|           sat|   922| 333|
|      answered|   921| 334|
|          wife|   920| 335|
|          gone|   918| 336|
|         often|   905| 337|
|          rest|   905| 338|
|           eat|   902| 339|
|        manner|   900| 340|
|          near|   900| 341|
|         peter|   891| 342|
|        course|   889| 343|
|        person|   881| 344|
|          help|   878| 345|
|         jesus|   878| 346|
|         known|   861| 347|
|           sea|   851| 348|
|        second|   844| 349|
|        twenty|   842| 350|
|         sight|   839| 351|
|          kept|   838| 352|
|          kind|   837| 353|
|             e|   836| 354|
|     jerusalem|   833| 355|
|         order|   826| 356|
|          dead|   825| 357|
|          read|   823| 358|
|          best|   821| 359|
|         judah|   820| 360|
|        reason|   819| 361|
|     president|   806| 362|
|          holy|   804| 363|
|           yes|   801| 364|
|          none|   799| 365|
|          feet|   799| 366|
|         since|   794| 367|
|        rather|   789| 368|
|          fear|   789| 369|
|         cause|   788| 370|
|        states|   787| 371|
|          fell|   784| 372|
|       certain|   782| 373|
|        within|   779| 374|
|         mouth|   779| 375|
|       captain|   773| 376|
|       whether|   770| 377|
|          john|   768| 378|
|      offering|   767| 379|
|         peace|   766| 380|
|        friend|   765| 381|
|         white|   760| 382|
|        return|   760| 383|
|           boy|   759| 384|
|    government|   759| 385|
|         child|   758| 386|
|         above|   757| 387|
|          soul|   757| 388|
|       friends|   756| 389|
|          dear|   756| 390|
|        public|   756| 391|
|    electronic|   756| 392|
|          feel|   753| 393|
|      received|   752| 394|
|          call|   748| 395|
|          open|   745| 396|
|        matter|   745| 397|
|         along|   739| 398|
|          does|   734| 399|
|         cried|   733| 400|
|         leave|   732| 401|
|       written|   730| 402|
|          laid|   730| 403|
|         alone|   727| 404|
|          turn|   724| 405|
|          free|   723| 406|
|        either|   723| 407|
|    foundation|   723| 408|
|          evil|   722| 409|
|        heaven|   721| 410|
|       chapter|   720| 411|
|          live|   718| 412|
|          hair|   716| 413|
|     sometimes|   713| 414|
|          laws|   711| 415|
|       servant|   710| 416|
|         prick|   709| 417|
|          case|   708| 418|
|          gold|   705| 419|
|          nora|   705| 420|
|      although|   704| 421|
|         terms|   699| 422|
|        around|   698| 423|
|        strong|   696| 424|
|           ten|   694| 425|
|         stand|   693| 426|
|        toward|   692| 427|
|           cut|   691| 428|
|        passed|   691| 429|
|          book|   690| 430|
|       several|   688| 431|
|       believe|   688| 432|
|      servants|   688| 433|
|          true|   687| 434|
|        family|   686| 435|
|       perhaps|   686| 436|
|         river|   686| 437|
|          cast|   684| 438|
|       present|   684| 439|
|         seven|   684| 440|
|           six|   682| 441|
|       however|   682| 442|
|          able|   678| 443|
|           art|   675| 444|
|       subject|   673| 445|
|         blood|   672| 446|
|          hard|   672| 447|
|        number|   668| 448|
|        moment|   664| 449|
|        coming|   660| 450|
|          hold|   656| 451|
|         spake|   652| 452|
|         egypt|   651| 453|
|         large|   648| 454|
|            de|   643| 455|
|          lady|   643| 456|
|          sure|   643| 457|
|          hour|   642| 458|
|        master|   636| 459|
|           meg|   635| 460|
|      returned|   633| 461|
|         truth|   628| 462|
|       fathers|   625| 463|
|        ground|   624| 464|
|           big|   623| 465|
|       brother|   623| 466|
|       already|   620| 467|
|           met|   617| 468|
|         sword|   614| 469|
|        letter|   614| 470|
|       majesty|   612| 471|
|          ship|   612| 472|
|          hope|   610| 473|
|      business|   608| 474|
|         ready|   607| 475|
|          care|   606| 476|
|       clothes|   606| 477|
|        wanted|   605| 478|
|     commanded|   602| 479|
|        priest|   599| 480|
|         means|   598| 481|
|          held|   597| 482|
|       feeling|   595| 483|
|       husband|   595| 484|
|      pleasure|   594| 485|
|          aunt|   593| 486|
|        making|   590| 487|
|         judge|   590| 488|
|    everything|   589| 489|
|        became|   585| 490|
|           amy|   585| 491|
|      daughter|   583| 492|
|        places|   582| 493|
|        nearly|   580| 494|
|        except|   580| 495|
|        sister|   579| 496|
|           die|   577| 497|
|        pretty|   577| 498|
|          else|   575| 499|
|          miss|   573| 500|
|        christ|   573| 501|
|     agreement|   571| 502|
|        behind|   571| 503|
|          dark|   569| 504|
|        indeed|   566| 505|
|        united|   563| 506|
|        become|   563| 507|
|         tried|   563| 508|
|     authority|   557| 509|
|         early|   557| 510|
|          boat|   556| 511|
|        street|   556| 512|
|        silver|   555| 513|
|         table|   554| 514|
|        office|   554| 515|
|        desire|   554| 516|
|         chief|   553| 517|
|          died|   551| 518|
|       opinion|   549| 519|
|        laurie|   549| 520|
|       carried|   548| 521|
|       persons|   548| 522|
|          send|   545| 523|
|          lost|   544| 524|
|         field|   541| 525|
|        wealth|   541| 526|
|          less|   541| 527|
|         kings|   541| 528|
|         doing|   539| 529|
|         drink|   539| 530|
|         ought|   538| 531|
|           air|   538| 532|
|          talk|   537| 533|
|        church|   534| 534|
|         girls|   534| 535|
|          wish|   533| 536|
|          boys|   532| 537|
|          fact|   529| 538|
|           ask|   528| 539|
|         black|   526| 540|
|     necessary|   524| 541|
|          sort|   523| 542|
|        answer|   523| 543|
|          fall|   523| 544|
|         bread|   523| 545|
|       account|   522| 546|
|       kingdom|   522| 547|
|        opened|   522| 548|
|        seeing|   518| 549|
|      strength|   517| 550|
|         close|   516| 551|
|          mean|   514| 552|
|       service|   513| 553|
|          town|   512| 554|
|         flesh|   511| 555|
|        really|   510| 556|
|      followed|   510| 557|
|        walked|   509| 558|
|         spoke|   507| 559|
|      remember|   506| 560|
|           sun|   504| 561|
|    concerning|   504| 562|
|        cities|   504| 563|
|      brethren|   504| 564|
|       getting|   502| 565|
|        living|   501| 566|
|           sir|   501| 567|
|         short|   500| 568|
|         court|   500| 569|
|           sin|   499| 570|
|    understand|   498| 571|
|       priests|   497| 572|
|     soveraign|   497| 573|
|        during|   496| 574|
|       trouble|   495| 575|
|         least|   491| 576|
|       society|   491| 577|
|        afraid|   491| 578|
|        wicked|   490| 579|
|          bear|   489| 580|
|        speech|   489| 581|
|          gods|   489| 582|
|         later|   488| 583|
|         lived|   488| 584|
|          save|   487| 585|
|          arms|   486| 586|
|        thirty|   482| 587|
|        charge|   480| 588|
|          fine|   479| 589|
|         story|   478| 590|
|    afterwards|   478| 591|
|     following|   474| 592|
|           run|   472| 593|
|          form|   471| 594|
|         whale|   471| 595|
|        battle|   470| 596|
|     different|   470| 597|
|     knowledge|   469| 598|
|          meet|   468| 599|
|       evening|   468| 600|
|        spoken|   467| 601|
|           try|   467| 602|
|          paid|   466| 603|
|         sense|   466| 604|
|          mary|   465| 605|
|        prince|   464| 606|
|          line|   464| 607|
|           ran|   462| 608|
|       liberty|   462| 609|
|           age|   458| 610|
|        mighty|   458| 611|
|          walk|   458| 612|
|           pay|   457| 613|
|      standing|   455| 614|
|          glad|   455| 615|
|         third|   454| 616|
|         wrote|   454| 617|
|       license|   453| 618|
|      judgment|   453| 619|
|          need|   452| 620|
|           act|   451| 621|
|         glory|   450| 622|
|           cry|   450| 623|
|        taking|   447| 624|
|       nations|   447| 625|
|          foot|   445| 626|
|         sleep|   445| 627|
|        minute|   444| 628|
|       command|   443| 629|
|       company|   440| 630|
|       married|   440| 631|
|          wise|   440| 632|
|          pray|   438| 633|
|          copy|   437| 634|
|         march|   436| 635|
|         force|   435| 636|
|        please|   432| 637|
|         midst|   432| 638|
|         happy|   431| 639|
|          ways|   431| 640|
|          show|   430| 641|
|       receive|   430| 642|
|          army|   429| 643|
|       towards|   429| 644|
|       strange|   428| 645|
|         quiet|   428| 646|
|         bound|   427| 647|
|       stopped|   426| 648|
|          saul|   425| 649|
|          born|   424| 650|
|          seem|   424| 651|
|      gathered|   424| 652|
|     donations|   424| 653|
|      covenant|   423| 654|
|      literary|   420| 655|
|         point|   420| 656|
|           eye|   419| 657|
|      question|   418| 658|
|  congregation|   417| 659|
|        filled|   416| 660|
|          wall|   414| 661|
|          fast|   414| 662|
|          beth|   414| 663|
|        longer|   413| 664|
|         onely|   413| 665|
|       destroy|   411| 666|
|       princes|   411| 667|
|         burnt|   411| 668|
|       letters|   408| 669|
|       entered|   408| 670|
|           bad|   408| 671|
|       purpose|   406| 672|
|         month|   406| 673|
|           jim|   406| 674|
|          rose|   405| 675|
|          tree|   404| 676|
|     beautiful|   403| 677|
|          wait|   403| 678|
|         seems|   402| 679|
|         south|   402| 680|
|       enemies|   402| 681|
|      appeared|   401| 682|
|        broken|   400| 683|
|     beginning|   400| 684|
|       faustus|   400| 685|
|     delivered|   399| 686|
|       greater|   398| 687|
|        window|   398| 688|
|      thinking|   396| 689|
|        honour|   396| 690|
|         party|   395| 691|
|       laughed|   395| 692|
|       private|   394| 693|
|        itself|   394| 694|
|         jacob|   394| 695|
|         stone|   393| 696|
|          past|   391| 697|
|         enter|   389| 698|
|         altar|   389| 699|
|          gate|   386| 700|
|        length|   386| 701|
|       england|   385| 702|
|     copyright|   385| 703|
|       english|   383| 704|
|           arm|   383| 705|
|         spent|   382| 706|
|        island|   381| 707|
|         offer|   380| 708|
|         paper|   380| 709|
|        twelve|   379| 710|
|         loved|   379| 711|
|        school|   379| 712|
|         sound|   379| 713|
|          legs|   379| 714|
|         brown|   379| 715|
|    siddhartha|   379| 716|
|         fifty|   378| 717|
|         makes|   378| 718|
|         books|   377| 719|
|        unless|   376| 720|
|          lips|   376| 721|
|       abraham|   376| 722|
|      possible|   375| 723|
|         royal|   374| 724|
|          wind|   374| 725|
|             f|   373| 726|
|          wine|   372| 727|
|          hall|   371| 728|
|         hours|   371| 729|
|        surely|   371| 730|
|        houses|   370| 731|
|      thoughts|   370| 732|
|         aaron|   369| 733|
|          meat|   368| 734|
|         eight|   368| 735|
|       archive|   367| 736|
|       deliver|   367| 737|
|        pulled|   367| 738|
|       offered|   365| 739|
|         faith|   364| 740|
|       wherein|   364| 741|
|         carry|   363| 742|
|         plain|   362| 743|
|           low|   361| 744|
|          idea|   360| 745|
|           oil|   360| 746|
|       further|   359| 747|
|           top|   359| 748|
|        change|   359| 749|
|           ill|   358| 750|
|         comes|   358| 751|
|        waters|   358| 752|
|       islands|   357| 753|
|           sit|   355| 754|
|          seek|   354| 755|
|         names|   353| 756|
|          nice|   353| 757|
|        notice|   353| 758|
|    whatsoever|   352| 759|
|      occasion|   351| 760|
|       replied|   351| 761|
|          hurt|   350| 762|
|      suddenly|   350| 763|
|       suppose|   350| 764|
|       dorothy|   350| 765|
|       outside|   349| 766|
|         north|   349| 767|
|         trees|   349| 768|
|       indians|   348| 769|
|        fellow|   348| 770|
|         serve|   348| 771|
|           lie|   348| 772|
|      interest|   347| 773|
|         below|   347| 774|
|    particular|   347| 775|
|         forty|   346| 776|
|      governor|   346| 777|
|         mercy|   346| 778|
|       writing|   345| 779|
|       pleased|   345| 780|
|        beside|   345| 781|
|     condition|   345| 782|
|         dwell|   345| 783|
|           red|   344| 784|
|   inhabitants|   344| 785|
|          self|   343| 786|
|        dinner|   343| 787|
|           joy|   343| 788|
|         visit|   342| 789|
|        follow|   342| 790|
|       learned|   342| 791|
|             l|   341| 792|
|         agree|   340| 793|
|          jack|   340| 794|
|       blessed|   340| 795|
|           lot|   339| 796|
|        showed|   339| 797|
|       sitting|   339| 798|
|        thighs|   339| 799|
|           led|   338| 800|
|          jews|   338| 801|
|         moved|   337| 802|
|   immediately|   336| 803|
|         human|   336| 804|
|             s|   336| 805|
|          stay|   336| 806|
|         meant|   335| 807|
|          fred|   335| 808|
|       prophet|   335| 809|
|         enemy|   333| 810|
|    understood|   333| 811|
|        trying|   333| 812|
|       justice|   333| 813|
|     paragraph|   332| 814|
|          deep|   332| 815|
|          easy|   332| 816|
|          drew|   332| 817|
|         sweet|   332| 818|
|           yea|   332| 819|
|        praise|   331| 820|
|         built|   331| 821|
|          late|   330| 822|
|         queen|   330| 823|
|         parts|   330| 824|
|      prophets|   330| 825|
|        across|   329| 826|
|     gentleman|   329| 827|
|       reached|   329| 828|
|          deal|   329| 829|
|         fight|   328| 830|
|    wilderness|   327| 831|
|        giving|   326| 832|
|       talking|   326| 833|
|        civill|   326| 834|
|      contrary|   325| 835|
|       covered|   325| 836|
|      subjects|   324| 837|
|          ones|   324| 838|
|      assembly|   324| 839|
|         piece|   323| 840|
|     multitude|   323| 841|
|    tabernacle|   323| 842|
|        months|   322| 843|
|       forward|   322| 844|
|   information|   321| 845|
|        helmer|   321| 846|
|         floor|   320| 847|
|        middle|   320| 848|
|      happened|   320| 849|
|        anyone|   319| 850|
|          rise|   319| 851|
|        wisdom|   319| 852|
|         front|   318| 853|
|          kill|   318| 854|
|          cold|   317| 855|
|       therein|   317| 856|
|         anger|   316| 857|
|         write|   315| 858|
|       minutes|   315| 859|
|        chance|   315| 860|
|        french|   314| 861|
|         break|   314| 862|
|       scrooge|   314| 863|
|          duty|   313| 864|
|         wendy|   313| 865|
|         ebook|   312| 866|
|         horse|   312| 867|
|        nation|   312| 868|
|        talked|   311| 869|
|         liked|   311| 870|
|          blue|   310| 871|
|     wherefore|   310| 872|
|      presence|   309| 873|
|     character|   308| 874|
|     christian|   308| 875|
|         heavy|   308| 876|
|         hosts|   307| 877|
|    possession|   306| 878|
|          seed|   306| 879|
|          east|   305| 880|
|       history|   305| 881|
|       quickly|   305| 882|
|        doctor|   305| 883|
|           hot|   305| 884|
|       solomon|   305| 885|
|     daughters|   304| 886|
|          grew|   304| 887|
|         clean|   304| 888|
|        slowly|   304| 889|
|       provide|   303| 890|
|         doubt|   302| 891|
|       instead|   302| 892|
|         mount|   302| 893|
|     continued|   301| 894|
|        future|   301| 895|
|        secret|   301| 896|
|          huck|   301| 897|
|        easily|   300| 898|
|         trust|   300| 899|
|          shut|   300| 900|
|         green|   299| 901|
|          play|   299| 902|
|       besides|   299| 903|
|        access|   298| 904|
|         dress|   298| 905|
|    especially|   297| 906|
|        tongue|   297| 907|
|    throughout|   296| 908|
|        lifted|   296| 909|
|          fair|   295| 910|
|        sought|   295| 911|
|      property|   295| 912|
|             b|   294| 913|
| understanding|   294| 914|
|          sake|   294| 915|
|        raised|   293| 916|
|        beyond|   293| 917|
|          doth|   293| 918|
|      language|   292| 919|
|     appointed|   292| 920|
|        garden|   292| 921|
|         tears|   292| 922|
|      pleasant|   291| 923|
|         clear|   291| 924|
|        placed|   290| 925|
|          week|   290| 926|
|          rich|   290| 927|
|      believed|   290| 928|
|          sect|   290| 929|
|        effect|   289| 930|
|        struck|   289| 931|
|          lest|   289| 932|
|      whatever|   289| 933|
|      kingdome|   289| 934|
|            st|   287| 935|
|     offerings|   287| 936|
|     religious|   286| 937|
|           hat|   286| 938|
|          lion|   286| 939|
|         lying|   285| 940|
|         added|   285| 941|
|      observed|   285| 942|
|        pieces|   285| 943|
|       babylon|   285| 944|
|          edna|   285| 945|
|          wood|   284| 946|
|      marriage|   283| 947|
|          iron|   282| 948|
|     trademark|   282| 949|
|     disciples|   282| 950|
|     including|   281| 951|
|       leaving|   281| 952|
|          ears|   281| 953|
|      iniquity|   281| 954|
|          wide|   280| 955|
|         ghost|   280| 956|
|      speaking|   279| 957|
|     certainly|   278| 958|
|      greatest|   276| 959|
|    impossible|   276| 960|
|         heads|   276| 961|
|        spread|   275| 962|
|        horses|   275| 963|
|          sick|   275| 964|
|     afterward|   275| 965|
|        refund|   275| 966|
|       levites|   275| 967|
|      position|   274| 968|
|        former|   274| 969|
|          bare|   274| 970|
|         wrong|   274| 971|
|      departed|   274| 972|
|       support|   273| 973|
|       promise|   273| 974|
|             c|   272| 975|
|      doctrine|   272| 976|
|         youth|   271| 977|
|         noise|   271| 978|
|          wilt|   271| 979|
|         belly|   271| 980|
|        fucked|   271| 981|
|    washington|   270| 982|
|        caught|   270| 983|
|   inheritance|   270| 984|
|     sacrifice|   270| 985|
|        cometh|   270| 986|
|       desired|   269| 987|
|      distance|   269| 988|
|       natural|   269| 989|
|      algernon|   269| 990|
|      consider|   268| 991|
|       allowed|   268| 992|
|     generally|   268| 993|
|     satisfied|   267| 994|
|    experience|   267| 995|
|        proper|   266| 996|
|         teach|   266| 997|
|         fruit|   266| 998|
|         chair|   265| 999|
|         watch|   265|1000|
|        kissed|   265|1001|
|       usually|   264|1002|
|       fingers|   264|1003|
|       actions|   264|1004|
|        joseph|   263|1005|
| righteousness|   263|1006|
|      promised|   262|1007|
|          real|   261|1008|
|        taught|   261|1009|
|        london|   260|1010|
|      provided|   260|1011|
|          shew|   260|1012|
|          kiss|   259|1013|
|          rank|   258|1014|
|    permission|   258|1015|
|     secretary|   257|1016|
|         learn|   257|1017|
|       knowing|   257|1018|
|       meeting|   257|1019|
|        corner|   257|1020|
|      somewhat|   257|1021|
|      religion|   256|1022|
|          rule|   256|1023|
|         tired|   256|1024|
|       journey|   256|1025|
|        cecily|   256|1026|
|        remain|   255|1027|
|          duke|   255|1028|
|      families|   255|1029|
|         glass|   255|1030|
|         laugh|   255|1031|
|       worship|   255|1032|
|         arose|   255|1033|
|         tribe|   255|1034|
|         lawes|   255|1035|
|      officers|   254|1036|
|        asleep|   254|1037|
|       ashamed|   254|1038|
|         dwelt|   254|1039|
|      remained|   253|1040|
|      directly|   253|1041|
|        wonder|   253|1042|
|    associated|   253|1043|
|        joshua|   253|1044|
|   philistines|   253|1045|
|         worth|   252|1046|
|         usual|   252|1047|
|         naked|   252|1048|
|       fucking|   252|1049|
|        hardly|   251|1050|
|        bodies|   251|1051|
|       whereof|   250|1052|
|        killed|   249|1053|
|       touched|   249|1054|
|     afternoon|   248|1055|
|      probably|   248|1056|
|          west|   248|1057|
|    considered|   248|1058|
