Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
+--------------+-----+----+
|           the|85411|   0|
|           and|71399|   1|
|            to|57875|   2|
|            of|53039|   3|
|             i|43390|   4|
|             a|38326|   5|
|            in|30956|   6|
|          that|28874|   7|
|           you|24809|   8|
|            it|23428|   9|
|            he|21938|  10|
|            my|20944|  11|
|           his|19408|  12|
|           for|19288|  13|
|           not|18987|  14|
|          with|18786|  15|
|            is|18613|  16|
|            as|17222|  17|
|            be|17074|  18|
|           her|16224|  19|
|           was|15398|  20|
|            me|15259|  21|
|           but|13564|  22|
|           him|13521|  23|
|          have|13467|  24|
|          this|13016|  25|
|            so|11023|  26|
|           she|10965|  27|
|            on|10298|  28|
|          your|10177|  29|
|           all|10152|  30|
|           had|10032|  31|
|            by|10015|  32|
|            at|10004|  33|
|          will| 8714|  34|
|          what| 8677|  35|
|            or| 8154|  36|
|            if| 8052|  37|
|            no| 7962|  38|
|          they| 7582|  39|
|          from| 7477|  40|
|             ”| 7439|  41|
|           are| 7164|  42|
|         which| 7147|  43|
|          thou| 7078|  44|
|            do| 6830|  45|
|            we| 6400|  46|
|         would| 6380|  47|
|          said| 5962|  48|
|          them| 5842|  49|
|           one| 5753|  50|
|          when| 5652|  51|
|          were| 5503|  52|
|         there| 5393|  53|
|          more| 5349|  54|
|           now| 5142|  55|
|         shall| 5045|  56|
|           who| 4981|  57|
|           thy| 4914|  58|
|          good| 4913|  59|
|         their| 4880|  60|
|            an| 4702|  61|
|        should| 4504|  62|
|           our| 4494|  63|
|          then| 4453|  64|
|          than| 4404|  65|
|          come| 4265|  66|
|           out| 4237|  67|
|          well| 4178|  68|
|          thee| 4162|  69|
|            am| 4103|  70|
|           how| 4016|  71|
|          been| 4001|  72|
|          very| 3831|  73|
|          such| 3813|  74|
|           may| 3791|  75|
|         could| 3742|  76|
|           any| 3729|  77|
|           man| 3687|  78|
|          know| 3663|  79|
|           say| 3655|  80|
|           did| 3619|  81|
|          must| 3610|  82|
|          some| 3583|  83|
|          upon| 3545|  84|
|            up| 3515|  85|
|          like| 3506|  86|
|          here| 3436|  87|
|           sir| 3389|  88|
|          lord| 3366|  89|
|           see| 3351|  90|
|           let| 3282|  91|
|          king| 3248|  92|
|          love| 3207|  93|
|            us| 3181|  94|
|            go| 3121|  95|
|          time| 3115|  96|
|          make| 3086|  97|
|           don| 2999|  98|
|           can| 2928|  99|
|          much| 2836| 100|
|         never| 2649| 101|
|         other| 2624| 102|
|           has| 2601| 103|
|         enter| 2578| 104|
|         these| 2574| 105|
|          give| 2572| 106|
|          into| 2546| 107|
|        before| 2525| 108|
|         where| 2524| 109|
|          made| 2519| 110|
|             o| 2507| 111|
|         first| 2487| 112|
|         great| 2475| 113|
